,수위,총유입량,총방류량
34221,5.05,186.728,186.728
34222,5.05,186.807,186.807
34223,5.05,186.973,186.973
34224,5.05,186.722,186.722
34225,5.05,186.918,186.918
34226,5.05,186.932,186.932
34227,5.05,187.04,187.04
34228,5.06,226.667,188.0
34229,5.06,189.46,189.46
34230,5.06,189.605,189.605
34231,5.06,189.585,189.585
34232,5.06,189.537,189.537
34233,5.06,189.618,189.618
34234,5.06,189.615,189.615
34235,5.06,189.593,189.593
34236,5.06,189.608,189.608
34237,5.05,149.181,187.848
34238,5.04,147.484,186.151
34239,5.03,144.575,183.242
34240,5.02,142.035,180.702
34241,5.02,164.285,164.285
34242,5.01,108.993,147.66
34243,5.01,142.258,142.258
34244,5.01,142.245,142.245
34245,5.01,142.105,142.105
34246,5.01,146.833,146.833
34247,5.02,185.28,146.613
34248,5.03,187.397,148.73
34249,5.03,151.172,151.172
34250,5.04,193.412,154.745
34251,5.05,223.782,185.115
34252,5.05,186.98,186.98
34253,5.05,186.998,186.998
34254,5.05,186.878,186.878
34255,5.05,186.915,186.915
34256,5.05,186.855,186.855
34257,5.05,186.88,186.88
34258,5.05,186.902,186.902
34259,5.05,186.815,186.815
34260,5.05,186.875,186.875
34261,5.04,148.186,186.853
34262,5.04,184.108,184.108
34263,5.04,184.025,184.025
34264,5.04,184.125,184.125
34265,5.04,183.965,183.965
34266,5.03,142.821,181.488
34267,5.03,181.303,181.303
34268,5.03,181.347,181.347
34269,5.03,181.32,181.32
34270,5.03,181.245,181.245
34271,5.03,181.272,181.272
34272,5.03,181.345,181.345
34273,5.03,181.345,181.345
34274,5.03,181.287,181.287
34275,5.03,181.262,181.262
34276,5.03,181.268,181.268
34277,5.02,141.078,179.745
34278,5.02,178.312,178.312
34279,5.02,178.572,178.572
34280,5.02,178.465,178.465
34281,5.02,178.372,178.372
34282,5.02,178.413,178.413
34283,5.02,178.477,178.477
34284,5.02,178.508,178.508
34285,5.02,178.385,178.385
34286,5.03,219.131,180.464
34287,5.05,251.285,173.952
34288,5.05,172.393,172.393
34289,5.05,172.39,172.39
34290,5.05,172.358,172.358
34291,5.07,253.099,175.766
34292,5.08,220.227,181.533
34293,5.08,186.935,186.935
34294,5.09,226.793,188.126
34295,5.1,229.442,190.775
34296,5.1,192.46,192.46
34297,5.1,192.427,192.427
34298,5.11,234.705,196.038
34299,5.12,237.51,198.843
34300,5.12,203.033,203.033
34301,5.12,202.977,202.977
34302,5.13,244.607,205.94
34303,5.13,207.93,207.93
34304,5.13,208.007,208.007
34305,5.14,250.195,211.528
34306,5.14,213.257,213.257
34307,5.14,213.088,213.088
34308,5.15,252.794,214.127
34309,5.15,218.307,218.307
34310,5.15,218.292,218.292
34311,5.15,218.363,218.363
34312,5.15,218.253,218.253
34313,5.15,218.405,218.405
34314,5.15,218.317,218.317
34315,5.15,218.242,218.242
34316,5.15,218.315,218.315
34317,5.15,218.492,218.492
34318,5.15,218.393,218.393
34319,5.15,218.372,218.372
34320,5.15,218.27,218.27
34321,5.15,218.365,218.365
34322,5.15,218.275,218.275
34323,5.15,218.37,218.37
34324,5.15,218.337,218.337
34325,5.15,218.322,218.322
34326,5.15,218.393,218.393
34327,5.14,178.716,217.383
34328,5.14,213.323,213.323
34329,5.14,213.072,213.072
34330,5.13,173.836,212.503
34331,5.13,207.972,207.972
34332,5.13,207.878,207.878
34333,5.12,167.178,205.845
34334,5.12,202.8,202.8
34335,5.11,136.363,175.03
34336,5.11,196.617,196.617
34337,5.1,157.09,195.757
34338,5.1,192.638,192.638
34339,5.1,192.542,192.542
34340,5.1,192.523,192.523
34341,5.1,192.475,192.475
34342,5.1,192.522,192.522
34343,5.1,192.637,192.637
34344,5.1,192.562,192.562
34345,5.09,151.329,189.996
34346,5.09,189.752,189.752
34347,5.09,189.785,189.785
34348,5.09,189.608,189.608
34349,5.08,148.567,187.234
34350,5.08,187.023,187.023
34351,5.08,186.837,186.837
34352,5.07,146.244,184.938
34353,5.07,184.645,184.645
34354,5.07,179.083,179.083
34355,5.06,138.23,176.897
34356,5.06,176.303,176.303
34357,5.06,176.218,176.218
34358,5.05,135.358,174.025
34359,5.05,173.492,173.492
34360,5.05,173.525,173.525
34361,5.05,173.493,173.493
34362,5.04,132.233,170.9
34363,5.04,170.78,170.78
34364,5.04,170.715,170.715
34365,5.04,170.817,170.817
34366,5.04,170.58,170.58
34367,5.04,170.602,170.602
34368,5.04,170.65,170.65
34369,5.04,170.813,170.813
34370,5.04,170.76,170.76
34371,5.04,170.775,170.775
34372,5.04,170.762,170.762
34373,5.04,170.713,170.713
34374,5.04,170.633,170.633
34375,5.04,170.538,170.538
34376,5.04,170.657,170.657
34377,5.04,170.69,170.69
34378,5.04,170.572,170.572
34379,5.04,170.665,170.665
34380,5.04,170.693,170.693
34381,5.03,131.969,170.636
34382,5.03,167.885,167.885
34383,5.03,167.917,167.917
34384,5.02,126.427,165.094
34385,5.02,165.187,165.187
34386,5.01,124.668,163.335
34387,5.01,162.158,162.158
34388,5.01,162.4,162.4
34389,5.01,162.257,162.257
34390,5.01,162.292,162.292
34391,5.01,162.482,162.482
34392,5.01,162.387,162.387
34393,5.01,162.32,162.32
34394,5.01,162.352,162.352
34395,5.01,162.325,162.325
34396,5.01,162.285,162.285
34397,5.01,162.19,162.19
34398,5.01,161.257,161.257
34399,5.0,76.57,115.237
34400,5.0,91.437,91.437
34401,4.99,24.719,81.275
34402,4.99,68.085,68.085
34403,4.99,68.087,68.087
34404,4.99,64.415,64.415
34405,4.99,62.57,62.57
34406,4.99,62.622,62.622
34407,4.99,62.66,62.66
34408,4.99,62.57,62.57
34409,5.0,119.354,62.798
34410,5.0,63.127,63.127
34411,5.01,113.912,75.245
34412,5.02,137.762,99.095
34413,5.03,166.117,127.45
34414,5.03,170.937,170.937
34415,5.05,257.236,179.903
34416,5.06,223.984,185.317
34417,5.08,267.944,190.583
34418,5.09,232.316,193.649
34419,5.11,275.447,198.114
34420,5.13,285.556,208.223
34421,5.14,254.884,216.217
34422,5.16,294.22,216.887
34423,5.17,264.056,225.389
34424,5.18,270.072,231.405
34425,5.19,275.144,236.477
34426,5.2,279.175,240.508
34427,5.2,244.097,244.097
34428,5.21,286.772,248.105
34429,5.21,250.702,250.702
34430,5.22,294.71,256.043
34431,5.22,257.577,257.577
34432,5.22,257.597,257.597
34433,5.22,257.677,257.677
34434,5.22,257.587,257.587
34435,5.22,257.467,257.467
34436,5.22,257.663,257.663
34437,5.22,257.597,257.597
