Unnamed: 0,수위,총유입량,총방류량
68155,5.0,71.565,71.565
68156,5.0,71.582,71.582
68157,5.0,71.397,71.397
68158,5.01,111.869,73.202
68159,5.01,74.297,74.297
68160,5.01,74.01,74.01
68161,5.01,74.167,74.167
68162,5.02,114.39,75.723
68163,5.02,107.7,107.7
68164,5.02,117.828,117.828
68165,5.03,158.279,119.612
68166,5.03,120.738,120.738
68167,5.03,123.758,123.758
68168,5.03,124.125,124.125
68169,5.03,123.402,123.402
68170,5.02,82.722,121.389
68171,5.01,80.165,118.832
68172,5.01,102.185,102.185
68173,5.0,55.769,94.436
68174,5.0,85.828,85.828
68175,5.0,83.682,83.682
68176,5.0,83.783,83.783
68177,5.0,80.442,80.442
68178,5.01,111.141,72.474
68179,5.01,83.845,83.845
68180,5.01,82.934,82.934
68181,5.01,81.873,81.873
68182,5.01,83.454,83.454
68183,5.02,124.679,86.012
68184,5.02,86.661,86.661
68185,5.02,84.993,84.993
68186,5.03,126.725,88.058
68187,5.03,89.818,89.818
68188,5.03,88.373,88.373
68189,5.03,98.124,98.124
68190,5.04,148.42,109.753
68191,5.04,124.28,124.28
68192,5.04,130.567,130.567
68193,5.04,127.957,127.957
68194,5.04,129.493,129.493
68195,5.03,94.296,132.963
68196,5.03,129.933,129.933
68197,5.02,88.814,127.481
68198,5.02,124.722,124.722
68199,5.02,121.492,121.492
68200,5.01,71.988,110.655
68201,5.01,77.805,77.805
68202,5.01,79.948,79.948
68203,5.01,77.298,77.298
68204,5.02,146.77,108.103
68205,5.02,122.936,122.936
68206,5.02,118.42,118.42
68207,5.02,118.545,118.545
